,Time,variable,value
0,0,Variable A,1.05
1,1,Variable A,1.1
2,2,Variable A,1.1500000000000001
3,3,Variable A,1.2000000000000002
4,4,Variable A,1.2500000000000002
5,5,Variable A,1.3000000000000003
6,6,Variable A,1.3500000000000003
7,7,Variable A,1.4000000000000004
8,8,Variable A,1.4500000000000004
9,9,Variable A,1.5000000000000004
10,10,Variable A,1.5500000000000005
11,11,Variable A,1.6000000000000005
12,12,Variable A,1.6500000000000006
13,13,Variable A,1.7000000000000006
14,14,Variable A,1.7500000000000007
15,15,Variable A,1.8000000000000007
16,16,Variable A,1.8500000000000008
17,17,Variable A,1.9000000000000008
18,18,Variable A,1.9500000000000008
19,19,Variable A,2.000000000000001
20,20,Variable A,2.0500000000000007
21,21,Variable A,2.1000000000000005
22,22,Variable A,2.1500000000000004
23,23,Variable A,2.2
24,24,Variable A,2.25
25,25,Variable A,2.3
26,26,Variable A,2.3499999999999996
27,27,Variable A,2.3999999999999995
28,28,Variable A,2.4499999999999993
29,29,Variable A,2.499999999999999
30,30,Variable A,2.549999999999999
31,31,Variable A,2.5999999999999988
32,32,Variable A,2.6499999999999986
33,33,Variable A,2.6999999999999984
34,34,Variable A,2.7499999999999982
35,35,Variable A,2.799999999999998
36,36,Variable A,2.849999999999998
37,37,Variable A,2.8999999999999977
38,38,Variable A,2.9499999999999975
39,39,Variable A,2.9999999999999973
40,40,Variable A,3.049999999999997
41,41,Variable A,3.099999999999997
42,42,Variable A,3.149999999999997
43,43,Variable A,3.1999999999999966
44,44,Variable A,3.2499999999999964
45,45,Variable A,3.2999999999999963
46,46,Variable A,3.349999999999996
47,47,Variable A,3.399999999999996
48,48,Variable A,3.4499999999999957
49,49,Variable A,3.4999999999999956
50,50,Variable A,3.5499999999999954
51,51,Variable A,3.599999999999995
52,52,Variable A,3.649999999999995
53,53,Variable A,3.699999999999995
54,54,Variable A,3.7499999999999947
55,55,Variable A,3.7999999999999945
56,56,Variable A,3.8499999999999943
57,57,Variable A,3.899999999999994
58,58,Variable A,3.949999999999994
59,59,Variable A,3.999999999999994
60,60,Variable A,4.049999999999994
61,61,Variable A,4.099999999999993
62,62,Variable A,4.149999999999993
63,63,Variable A,4.199999999999993
64,64,Variable A,4.249999999999993
65,65,Variable A,4.299999999999993
66,66,Variable A,4.3499999999999925
67,67,Variable A,4.399999999999992
68,68,Variable A,4.449999999999992
69,69,Variable A,4.499999999999992
70,70,Variable A,4.549999999999992
71,71,Variable A,4.599999999999992
72,72,Variable A,4.6499999999999915
73,73,Variable A,4.699999999999991
74,74,Variable A,4.749999999999991
75,75,Variable A,4.799999999999991
76,76,Variable A,4.849999999999991
77,77,Variable A,4.899999999999991
78,78,Variable A,4.94999999999999
79,79,Variable A,4.99999999999999
80,80,Variable A,5.04999999999999
81,81,Variable A,5.09999999999999
82,82,Variable A,5.14999999999999
83,83,Variable A,5.1999999999999895
84,84,Variable A,5.249999999999989
85,85,Variable A,5.299999999999989
86,86,Variable A,5.349999999999989
87,87,Variable A,5.399999999999989
88,88,Variable A,5.449999999999989
89,89,Variable A,5.4999999999999885
90,90,Variable A,5.549999999999988
91,91,Variable A,5.599999999999988
92,92,Variable A,5.649999999999988
93,93,Variable A,5.699999999999988
94,94,Variable A,5.749999999999988
95,95,Variable A,5.799999999999987
96,96,Variable A,5.849999999999987
97,97,Variable A,5.899999999999987
98,98,Variable A,5.949999999999987
99,99,Variable A,5.999999999999987
100,0,Variable B,1.54
101,1,Variable B,1.58
102,2,Variable B,1.62
103,3,Variable B,1.6600000000000001
104,4,Variable B,1.7000000000000002
105,5,Variable B,1.7400000000000002
106,6,Variable B,1.7800000000000002
