,Time,variable,value
0,0,Variable A,0.0
1,1,Variable A,0.12533323356430426
2,2,Variable A,0.2486898871648548
3,3,Variable A,0.368124552684678
4,4,Variable A,0.4817536741017153
5,5,Variable A,0.5877852522924731
6,6,Variable A,0.6845471059286887
7,7,Variable A,0.7705132427757893
8,8,Variable A,0.8443279255020151
9,9,Variable A,0.9048270524660196
10,10,Variable A,0.9510565162951535
11,11,Variable A,0.9822872507286887
12,12,Variable A,0.9980267284282716
13,13,Variable A,0.9980267284282716
14,14,Variable A,0.9822872507286886
15,15,Variable A,0.9510565162951535
16,16,Variable A,0.9048270524660195
17,17,Variable A,0.844327925502015
18,18,Variable A,0.7705132427757893
19,19,Variable A,0.6845471059286885
20,20,Variable A,0.5877852522924732
21,21,Variable A,0.4817536741017152
22,22,Variable A,0.3681245526846777
23,23,Variable A,0.2486898871648548
24,24,Variable A,0.1253332335643041
25,25,Variable A,-3.216245299353273e-16
26,26,Variable A,-0.1253332335643043
27,27,Variable A,-0.24868988716485502
28,28,Variable A,-0.36812455268467836
29,29,Variable A,-0.4817536741017154
30,30,Variable A,-0.5877852522924734
31,31,Variable A,-0.6845471059286887
32,32,Variable A,-0.7705132427757894
33,33,Variable A,-0.8443279255020153
34,34,Variable A,-0.9048270524660198
35,35,Variable A,-0.9510565162951535
36,36,Variable A,-0.9822872507286887
37,37,Variable A,-0.9980267284282716
38,38,Variable A,-0.9980267284282716
39,39,Variable A,-0.9822872507286886
40,40,Variable A,-0.9510565162951536
41,41,Variable A,-0.9048270524660196
42,42,Variable A,-0.8443279255020151
43,43,Variable A,-0.770513242775789
44,44,Variable A,-0.6845471059286883
45,45,Variable A,-0.5877852522924726
46,46,Variable A,-0.4817536741017153
47,47,Variable A,-0.3681245526846778
48,48,Variable A,-0.2486898871648545
49,49,Variable A,-0.1253332335643038
50,50,Variable A,6.432490598706546e-16
51,51,Variable A,0.12533323356430418
52,52,Variable A,0.2486898871648549
53,53,Variable A,0.36812455268467825
54,54,Variable A,0.4817536741017157
55,55,Variable A,0.5877852522924737
56,56,Variable A,0.6845471059286893
57,57,Variable A,0.7705132427757893
58,58,Variable A,0.8443279255020152
59,59,Variable A,0.9048270524660197
60,60,Variable A,0.9510565162951538
61,61,Variable A,0.9822872507286888
62,62,Variable A,0.9980267284282716
63,63,Variable A,0.9980267284282716
64,64,Variable A,0.9822872507286886
65,65,Variable A,0.9510565162951536
66,66,Variable A,0.9048270524660192
67,67,Variable A,0.8443279255020151
68,68,Variable A,0.7705132427757886
69,69,Variable A,0.6845471059286884
70,70,Variable A,0.5877852522924734
71,71,Variable A,0.4817536741017146
72,72,Variable A,0.368124552684678
73,73,Variable A,0.24868988716485377
74,74,Variable A,0.1253332335643039
75,75,Variable A,3.6739403974420594e-16
76,76,Variable A,-0.12533323356430495
77,77,Variable A,-0.24868988716485474
78,78,Variable A,-0.3681245526846789
79,79,Variable A,-0.4817536741017156
80,80,Variable A,-0.5877852522924728
81,81,Variable A,-0.6845471059286892
82,82,Variable A,-0.7705132427757891
83,83,Variable A,-0.8443279255020156
84,84,Variable A,-0.9048270524660197
85,85,Variable A,-0.951056516295154
86,86,Variable A,-0.9822872507286888
87,87,Variable A,-0.9980267284282716
88,88,Variable A,-0.9980267284282714
89,89,Variable A,-0.9822872507286886
90,90,Variable A,-0.9510565162951532
91,91,Variable A,-0.9048270524660192
92,92,Variable A,-0.8443279255020152
93,93,Variable A,-0.7705132427757886
94,94,Variable A,-0.6845471059286885
95,95,Variable A,-0.587785252292472
96,96,Variable A,-0.4817536741017147
97,97,Variable A,-0.3681245526846781
98,98,Variable A,-0.24868988716485388
99,99,Variable A,-0.12533323356430404
100,100,Variable A,1.2864981197413093e-15
101,0,Variable B,0.0
102,1,Variable B,0.07519994013858255
103,2,Variable B,0.14921393229891286
104,3,Variable B,0.22087473161080678
105,4,Variable B,0.2890522044610292
106,5,Variable B,0.3526711513754839
107,6,Variable B,0.4107282635572132
108,7,Variable B,0.4623079456654735
109,8,Variable B,0.5065967553012091
110,9,Variable B,0.5428962314796117
111,10,Variable B,0.570633909777092
112,11,Variable B,0.5893723504372133
113,12,Variable B,0.598816037056963
114,13,Variable B,0.598816037056963
115,14,Variable B,0.5893723504372131
116,15,Variable B,0.570633909777092
117,16,Variable B,0.5428962314796116
118,17,Variable B,0.506596755301209
119,18,Variable B,0.4623079456654735
120,19,Variable B,0.4107282635572131
121,20,Variable B,0.35267115137548394
122,21,Variable B,0.28905220446102914
123,22,Variable B,0.22087473161080662
124,23,Variable B,0.14921393229891286
125,24,Variable B,0.07519994013858246
126,25,Variable B,-1.9297471796119638e-16
127,26,Variable B,-0.07519994013858258
128,27,Variable B,-0.149213932298913
129,28,Variable B,-0.220874731610807
130,29,Variable B,-0.2890522044610292
131,30,Variable B,-0.352671151375484
132,31,Variable B,-0.4107282635572132
133,32,Variable B,-0.4623079456654736
134,33,Variable B,-0.5065967553012092
135,34,Variable B,-0.5428962314796119
136,35,Variable B,-0.570633909777092
137,36,Variable B,-0.5893723504372133
138,37,Variable B,-0.598816037056963
139,38,Variable B,-0.598816037056963
140,39,Variable B,-0.5893723504372131
141,40,Variable B,-0.5706339097770922
142,41,Variable B,-0.5428962314796117
143,42,Variable B,-0.5065967553012091
144,43,Variable B,-0.4623079456654734
145,44,Variable B,-0.410728263557213
146,45,Variable B,-0.35267115137548355
147,46,Variable B,-0.2890522044610292
148,47,Variable B,-0.22087473161080667
149,48,Variable B,-0.1492139322989127
150,49,Variable B,-0.07519994013858226
151,50,Variable B,3.8594943592239276e-16
152,51,Variable B,0.0751999401385825
153,52,Variable B,0.14921393229891294
154,53,Variable B,0.22087473161080695
155,54,Variable B,0.2890522044610294
156,55,Variable B,0.3526711513754842
157,56,Variable B,0.41072826355721354
158,57,Variable B,0.4623079456654735
159,58,Variable B,0.5065967553012091
160,59,Variable B,0.5428962314796117
161,60,Variable B,0.5706339097770923
162,61,Variable B,0.5893723504372133
163,62,Variable B,0.598816037056963
164,63,Variable B,0.598816037056963
165,64,Variable B,0.5893723504372131
166,65,Variable B,0.5706339097770922
167,66,Variable B,0.5428962314796115
168,67,Variable B,0.5065967553012091
169,68,Variable B,0.4623079456654731
170,69,Variable B,0.41072826355721304
171,70,Variable B,0.352671151375484
172,71,Variable B,0.28905220446102875
173,72,Variable B,0.22087473161080678
174,73,Variable B,0.14921393229891225
175,74,Variable B,0.07519994013858233
176,75,Variable B,2.2043642384652356e-16
177,76,Variable B,-0.07519994013858297
178,77,Variable B,-0.14921393229891283
179,78,Variable B,-0.22087473161080734
180,79,Variable B,-0.28905220446102936
181,80,Variable B,-0.35267115137548366
182,81,Variable B,-0.4107282635572135
183,82,Variable B,-0.46230794566547345
184,83,Variable B,-0.5065967553012094
185,84,Variable B,-0.5428962314796117
186,85,Variable B,-0.5706339097770924
187,86,Variable B,-0.5893723504372133
188,87,Variable B,-0.598816037056963
189,88,Variable B,-0.5988160370569628
190,89,Variable B,-0.5893723504372131
191,90,Variable B,-0.5706339097770919
192,91,Variable B,-0.5428962314796115
193,92,Variable B,-0.5065967553012091
194,93,Variable B,-0.4623079456654731
195,94,Variable B,-0.4107282635572131
196,95,Variable B,-0.3526711513754832
197,96,Variable B,-0.2890522044610288
198,97,Variable B,-0.22087473161080684
199,98,Variable B,-0.14921393229891233
200,99,Variable B,-0.07519994013858242
201,100,Variable B,7.718988718447855e-16
